"","ticker","name","cik","occurrence","date_added","date_removed","name_when_added","name_when_removed"
"463","UAA","Under Armour (Class A)",1336917,1,2014-05-01,2022-06-21,"Under Armour (Class A)","Under Armour (Class A)"
"464","UA","Under Armour (Class C)",1336917,1,2016-04-08,2022-06-21,"Under Armour (Class C)","Under Armour (Class C)"
"465","UNP","Union Pacific",100885,1,NA,NA,NA,NA
"466","UAL","United Airlines",100517,1,2015-09-02,NA,"United Continental Holdings",NA
"467","UNH","UnitedHealth Group",731766,1,NA,NA,NA,NA
"468","UPS","United Parcel Service",1090727,1,NA,NA,NA,NA
"469","URI","United Rentals",1067701,1,2014-09-20,NA,"United Rentals",NA
"470","UHS","Universal Health Services",352915,1,2014-09-20,NA,"Universal Health Services",NA
"471","UNM","Unum Group",5513,1,NA,2021-09-20,NA,"Unum"
"472","VLO","Valero Energy",1035002,1,NA,NA,NA,NA
"473","VTR","Ventas",740260,1,2009-03-03,NA,"Ventas",NA
"474","VRSN","Verisign",1014473,1,NA,NA,NA,NA
"475","VRSK","Verisk Analytics",1442145,1,2015-10-07,NA,"Verisk Analytics",NA
"476","VZ","Verizon Communications",732712,1,NA,NA,NA,NA
"477","VRTX","Vertex Pharmaceuticals",875320,1,2013-09-20,NA,"Vertex Pharmaceuticals",NA
"478","VFC","VF Corporation",103379,1,NA,2024-04-03,NA,"VF Corporation"
"479","VIAC","ViacomCBS",813828,1,NA,NA,NA,NA
"480","VTRS","Viatris",1792044,1,NA,NA,NA,NA
"481","V","Visa",1403161,1,2009-12-18,NA,"Visa",NA
"482","VNO","Vornado Realty Trust",899689,1,NA,2023-01-05,NA,"Vornado Realty Trust"
"483","VMC","Vulcan Materials",1396009,1,NA,NA,NA,NA
"484","WRB","W. R. Berkley Corporation",11544,1,2019-12-05,NA,"W. R. Berkley Corporation",NA
"485","WAB","Wabtec",943452,1,2019-02-27,NA,"Wabtec",NA
"486","WMT","Walmart",104169,1,NA,NA,NA,NA
"487","WBA","Walgreens Boots Alliance",1618921,1,NA,NA,NA,NA
"488","DIS","The Walt Disney Company",1744489,1,NA,NA,NA,NA
"489","WM","Waste Management",823768,1,NA,NA,NA,NA
"490","WAT","Waters Corporation",1000697,1,NA,NA,NA,NA
"491","WEC","WEC Energy Group",783325,1,NA,NA,NA,NA
"492","WFC","Wells Fargo",72971,1,NA,NA,NA,NA
"493","WELL","Welltower",766704,1,NA,NA,NA,NA
"494","WST","West Pharmaceutical Services",105770,1,2020-05-22,NA,"West Pharmaceutical Services",NA
"495","WDC","Western Digital",106040,1,NA,NA,NA,NA
"496","WU","Western Union",1365135,1,NA,2021-12-20,NA,"Western Union"
"497","WRK","WestRock",1732845,1,NA,NA,NA,NA
"498","WY","Weyerhaeuser",106535,1,NA,NA,NA,NA
"499","WHR","Whirlpool Corporation",106640,1,NA,2024-03-18,NA,"Whirlpool Corporation"
"500","WMB","Williams Companies",107263,1,NA,NA,NA,NA
"501","WLTW","Willis Towers Watson",1140536,1,2016-01-05,NA,"Willis Towers Watson",NA
"502","WYNN","Wynn Resorts",1174922,1,NA,NA,NA,NA
"503","XEL","Xcel Energy",72903,1,NA,NA,NA,NA
"504","XLNX","Xilinx",743988,1,NA,2022-02-15,NA,"Xilinx"
"505","XYL","Xylem",1524472,1,2011-10-31,NA,"Xylem",NA
"506","YUM","Yum! Brands",1041061,1,NA,NA,NA,NA
"507","ZBRA","Zebra Technologies",877212,1,2019-12-23,NA,"Zebra Technologies",NA
"508","ZBH","Zimmer Biomet",1136869,1,NA,NA,NA,NA
"509","ZION","Zions Bancorp",109380,1,NA,2024-03-18,NA,"Zions Bancorporation"
"510","ZTS","Zoetis",1555280,1,2013-06-21,NA,"Zoetis",NA
"511","ALXN",NA,NA,1,2012-05-21,2021-07-21,"Alexion Pharmaceuticals","Alexion Pharmaceuticals"
"512","HFC",NA,NA,1,2018-06-18,2021-06-04,"HollyFrontier","HollyFrontier"
"513","FLIR",NA,NA,1,NA,2021-05-14,NA,"FLIR Systems"
"514","VAR",NA,NA,1,NA,2021-04-20,NA,"Varian Medical Systems"
"515","FLS",NA,NA,1,NA,2021-03-22,NA,"Flowserve"
"516","SLG",NA,NA,1,2015-03-23,2021-03-22,"SL Green Realty","SL Green Realty"
"517","XRX",NA,NA,1,NA,2021-03-22,NA,"Xerox"
"518","VNT",NA,NA,1,2020-10-09,2021-03-22,"Vontier","Vontier"
"519","FTI",NA,NA,1,NA,2021-02-12,NA,"TechnipFMC"
"520","CXO",NA,NA,1,2016-02-22,2021-01-21,"Concho Resources","Concho Resources"
"521","TIF",NA,NA,1,NA,2021-01-07,NA,"Tiffany & Co"
"522","AIV",NA,NA,1,NA,2020-12-21,NA,"Apartment Investment & Management"
"523","NBL",NA,NA,1,NA,2020-10-12,NA,"Noble Energy"
"524","ETFC",NA,NA,1,NA,2020-10-07,NA,"E-Trade"
"525","HRB",NA,NA,1,NA,2020-09-21,NA,"H&R Block"
"526","COTY",NA,NA,1,2016-09-30,2020-09-21,"Coty","Coty"
"527","KSS",NA,NA,1,NA,2020-09-21,NA,"Kohl's"
"528","ADS",NA,NA,1,2013-12-23,2020-06-22,"Alliance Data Systems","Alliance Data Systems"
"529","HOG",NA,NA,1,NA,2020-06-22,NA,"Harley-Davidson"
"530","JWN",NA,NA,1,NA,2020-06-22,NA,"Nordstrom"
"531","HP",NA,NA,1,2010-02-26,2020-05-22,"Helmerich & Payne","Helmerich & Payne"
"532","CPRI",NA,NA,1,2018-12-22,2020-05-12,"Capri Holdings","Capri Holdings"
"533","AGN",NA,NA,2,2015-06-16,2020-05-12,"Allergan plc","Allergan plc"
"534","AGN",NA,NA,1,NA,2015-03-23,NA,"Allergan"
"535","ACT",NA,NA,1,2013-01-15,2015-06-15,"Actavis Inc","Actavis plc"
"536","WPI",NA,NA,1,1999-04-07,2013-01-14,"Watson Pharmaceuticals","Watson Pharmaceuticals"
"537","M",NA,NA,1,NA,2020-04-06,NA,"Macy's"
"538","RTN",NA,NA,1,NA,2020-04-06,NA,"Raytheon Company"
"539","XEC",NA,NA,1,2014-06-20,2020-03-03,"Cimarex Energy","Cimarex Energy"
"540","WCG",NA,NA,1,2018-09-14,2020-01-28,"WellCare","WellCare"
"541","AMG",NA,NA,1,2014-07-01,2019-12-23,"Affiliated Managers Group","Affiliated Managers Group"
"542","TRIP",NA,NA,1,2011-12-20,2019-12-23,"TripAdvisor","TripAdvisor"
"543","MAC",NA,NA,1,2013-05-08,2019-12-23,"Macerich","Macerich"
"544","STI",NA,NA,1,NA,2019-12-09,NA,"SunTrust Banks"
"545","VIAB",NA,NA,1,NA,2019-12-05,NA,"Viacom"
"546","CELG",NA,NA,1,NA,2019-11-21,NA,"Celgene"
"547","NKTR",NA,NA,1,2018-03-19,2019-10-03,"Nektar Therapeutics","Nektar Therapeutics"
"548","JEF",NA,NA,1,2018-05-16,2019-09-26,"Jefferies Financial Group","Jefferies Financial Group"
"549","LUK",NA,NA,1,2007-08-24,2018-05-15,"Leucadia National","Leucadia National"
"550","TSS",NA,NA,1,NA,2019-09-23,NA,"TSYS"
"551","APC",NA,NA,1,NA,2019-08-09,NA,"Anadarko Petroleum"
"552","FL",NA,NA,1,2016-04-04,2019-08-09,"Foot Locker","Foot Locker"
"553","RHT",NA,NA,1,NA,2019-07-15,NA,"Red Hat"
"554","LLL",NA,NA,1,NA,2019-07-01,NA,"L3 Technologies"
"555","MAT",NA,NA,1,NA,2019-06-07,NA,"Mattel"
"556","DWDP",NA,NA,1,2017-09-01,2019-06-03,"DuPont","DuPont"
"557","FLR",NA,NA,1,NA,2019-06-03,NA,"Fluor Corporation"
